"month","wday","year","no2","yr","FP","no_gr","no","loc","gr_ca"
1,"weekday",2020,12.8239754098361,2020,7.54720616570328,"low",2.1004329004329,"Windsor","high"
1,"weekend",2020,8.05139664804469,2020,5.50537634408602,"low",0.924719101123595,"Windsor","high"
10,"weekday",2020,9.34345114345114,2020,5.68410852713178,"low",2.18927789934354,"Windsor","high"
10,"weekend",2020,6.70841584158416,2020,5.40952380952381,"low",0.832,"Windsor","high"
11,"weekday",2020,10.0391208791209,2020,7.48577235772358,"low",1.8851598173516,"Windsor","high"
11,"weekend",2020,8.7509900990099,2020,8.62380952380952,"low",1.1835,"Windsor","high"
12,"weekday",2020,12.0051124744376,2020,9.84870848708487,"low",4.68639308855292,"Windsor","high"
12,"weekend",2020,9.72793296089385,2020,8.39784946236559,"low",1.48089887640449,"Windsor","high"
2,"weekday",2020,11.2341628959276,2020,7.02547770700637,"low",1.90400943396226,"Windsor","high"
2,"weekend",2020,11.4113861386139,2020,10.2571428571429,"low",1.4705,"Windsor","high"
3,"weekday",2020,10.9372591006424,2020,8.65557729941291,"low",2.46997742663657,"Windsor","high"
3,"weekend",2020,7.141,2020,4.54807692307692,"low",1.70707070707071,"Windsor","high"
4,"weekday",2020,8.35155925155925,2020,6.06576402321083,"low",2.03544857768053,"Windsor","high"
4,"weekend",2020,6.74413407821229,2020,6.46774193548387,"low",1.17191011235955,"Windsor","high"
5,"weekday",2020,6.8939262472885,2020,4.76161616161616,"low",0.738095238095238,"Windsor","high"
5,"weekend",2020,5.46017699115044,2020,5.26495726495726,"low",0.413392857142857,"Windsor","high"
6,"weekday",2020,7.87151767151767,2020,6.94015444015444,"low",0.882456140350877,"Windsor","high"
6,"weekend",2020,5.55698324022346,2020,6.51412429378531,"low",0.417415730337079,"Windsor","high"
7,"weekday",2020,7.32822085889571,2020,8.22878228782288,"low",0.700647948164147,"Windsor","high"
7,"weekend",2020,6.87765363128492,2020,6.87096774193548,"low",0.62247191011236,"Windsor","high"
8,"weekday",2020,7.74276169265033,2020,6.0879345603272,"low",1.24488372093023,"Windsor","high"
8,"weekend",2020,5.58893805309734,2020,7.11965811965812,"low",0.508482142857143,"Windsor","high"
9,"weekday",2020,8.7615866388309,2020,6.74513618677043,"low",1.61947483588621,"Windsor","high"
9,"weekend",2020,6.58715083798883,2020,7.47752808988764,"low",1.4814606741573,"Windsor","high"
1,"weekday",2020,13.9316115702479,2020,7.65009560229446,"low",4.75940803382664,"Toronto","high"
1,"weekend",2020,7.85191256830601,2020,5.2707182320442,"low",1.54494382022472,"Toronto","high"
10,"weekday",2020,9.20398322851153,2020,5.16237623762376,"low",3.30673913043478,"Toronto","high"
10,"weekend",2020,7.34509803921569,2020,4.70243902439024,"low",2.29698492462312,"Toronto","high"
11,"weekday",2020,10.9989106753813,2020,8.70515463917526,"low",2.80981735159817,"Toronto","high"
11,"weekend",2020,9.71182266009852,2020,8.72682926829268,"low",1.40050505050505,"Toronto","high"
12,"weekday",2020,12.6111111111111,2020,7.62095238095238,"low",3.8676532769556,"Toronto","high"
12,"weekend",2020,8.46978021978022,2020,6.83888888888889,"low",1.29774011299435,"Toronto","high"
2,"weekday",2020,9.58478747203579,2020,6.09307359307359,"low",2.76549295774648,"Toronto","high"
2,"weekend",2020,12.5507389162562,2020,10.7560975609756,"low",2.90959595959596,"Toronto","high"
3,"weekday",2020,8.62,2020,7.20278330019881,"low",2.29607843137255,"Toronto","high"
3,"weekend",2020,6.68407960199005,2020,4.66009852216749,"low",2.09336734693878,"Toronto","high"
4,"weekday",2020,6.84109014675052,2020,5.50793650793651,"low",1.52195652173913,"Toronto","high"
4,"weekend",2020,7.11256830601093,2020,7.69444444444444,"low",1.04550561797753,"Toronto","high"
5,"weekday",2020,7.55174672489083,2020,5.64742268041237,"low",1.44759725400458,"Toronto","high"
5,"weekend",2020,5.68648648648649,2020,5.65929203539823,"low",0.746788990825688,"Toronto","high"
6,"weekday",2020,7.30271966527197,2020,7.28712871287129,"low",1.1590021691974,"Toronto","high"
6,"weekend",2020,4.00491803278689,2020,6.88950276243094,"low",0.391573033707865,"Toronto","high"
7,"weekday",2020,5.03333333333333,2020,6.81171548117155,"low",0.745243128964059,"Toronto","high"
7,"weekend",2020,4.86666666666667,2020,6.56353591160221,"low",0.368539325842697,"Toronto","high"
8,"weekday",2020,6.83006535947712,2020,5.97113402061856,"low",1.79474885844749,"Toronto","high"
8,"weekend",2020,4.59276018099547,2020,7.2212389380531,"low",0.374654377880184,"Toronto","high"
9,"weekday",2020,8.10063157894737,2020,5.99801192842942,"low",2.96986899563319,"Toronto","high"
9,"weekend",2020,4.85300546448087,2020,4.7292817679558,"low",0.680337078651685,"Toronto","high"
1,"weekday",2020,13.5442043222004,2020,8.63703703703704,"low",2.88565488565489,"Hamilton","high"
1,"weekend",2020,9.91052631578947,2020,5.140625,"low",1.30160427807487,"Hamilton","high"
10,"weekday",2020,9.3328094302554,2020,5.39539347408829,"low",3.49601677148847,"Hamilton","high"
10,"weekend",2020,7.47512195121951,2020,6.36574074074074,"low",3.10439024390244,"Hamilton","high"
11,"weekday",2020,11.6134020618557,2020,9.25844930417495,"low",5.8673289183223,"Hamilton","high"
11,"weekend",2020,9.10575916230366,2020,7.50990099009901,"low",1.58115183246073,"Hamilton","high"
12,"weekday",2020,11.2285714285714,2020,8.94464944649446,"low",3.96728778467909,"Hamilton","high"
12,"weekend",2020,8.92578947368421,2020,7.796875,"low",2.21283422459893,"Hamilton","high"
2,"weekday",2020,11.8100217864924,2020,7.11320754716981,"low",2.02131147540984,"Hamilton","high"
2,"weekend",2020,11.1570731707317,2020,10.1342592592593,"low",2.46585365853659,"Hamilton","high"
3,"weekday",2020,12.0439842209073,2020,9.20841300191205,"low",2.77873684210526,"Hamilton","high"
3,"weekend",2020,9.82709359605911,2020,5.70560747663551,"low",1.60147783251232,"Hamilton","high"
4,"weekday",2020,10.0079207920792,2020,7.32380952380952,"low",2.04683544303797,"Hamilton","high"
4,"weekend",2020,9.39368421052631,2020,8.94791666666667,"low",1.60802139037433,"Hamilton","high"
5,"weekday",2020,12.3061855670103,2020,9.72763419483101,"low",3.59315673289183,"Hamilton","high"
5,"weekend",2020,9.48558951965065,2020,8.25416666666667,"low",1.46666666666667,"Hamilton","high"
6,"weekday",2020,8.60648330058939,2020,9.16129032258065,"low",1.73123689727463,"Hamilton","high"
6,"weekend",2020,6.21526315789474,2020,8.13684210526316,"low",1.46844919786096,"Hamilton","high"
7,"weekday",2020,7.38356164383562,2020,8.21003717472119,"low",1.73395445134576,"Hamilton","high"
7,"weekend",2020,5.20736842105263,2020,7.61458333333333,"low",0.781283422459893,"Hamilton","high"
8,"weekday",2020,8.3459793814433,2020,8.22664015904573,"low",2.60640176600441,"Hamilton","high"
8,"weekend",2020,6.25720524017467,2020,8.7625,"low",1.33377192982456,"Hamilton","high"
9,"weekday",2020,8.17193675889328,2020,7.56571428571429,"low",3.59937106918239,"Hamilton","high"
9,"weekend",2020,7.44473684210526,2020,7.40104166666667,"low",2.84973262032086,"Hamilton","high"
1,"weekday",2020,9.40800865800866,2020,7.73449612403101,"low",2.26561844863732,"Barrie","high"
1,"weekend",2020,4.96983240223464,2020,4.92105263157895,"low",0.440677966101695,"Barrie","high"
10,"weekday",2020,5.33866090712743,2020,4.38217821782178,"low",1.1146186440678,"Barrie","high"
10,"weekend",2020,4.26733668341709,2020,5.03980099502488,"low",1.17272727272727,"Barrie","high"
11,"weekday",2020,7.21286681715576,2020,7.39227642276423,"low",1.58115299334812,"Barrie","high"
11,"weekend",2020,5.50904522613065,2020,8.07042253521127,"low",0.598484848484849,"Barrie","high"
12,"weekday",2020,7.11541755888651,2020,7.87449392712551,"low",2.31708333333333,"Barrie","high"
12,"weekend",2020,5.16424581005587,2020,6.08125,"low",0.850282485875706,"Barrie","high"
2,"weekday",2020,6.38027842227378,2020,5.2936170212766,"low",1.1287037037037,"Barrie","high"
2,"weekend",2020,10.405527638191,2020,12.8411214953271,"low",1.38333333333333,"Barrie","high"
3,"weekday",2020,6.98574514038877,2020,7.99034749034749,"low",1.47118644067797,"Barrie","high"
3,"weekend",2020,5.55939086294416,2020,5.79716981132075,"low",1.18520408163265,"Barrie","high"
4,"weekday",2020,5.59719222462203,2020,6.78988326848249,"low",1.48495762711864,"Barrie","high"
4,"weekend",2020,5.30511363636364,2020,8.9572192513369,"low",0.922285714285714,"Barrie","high"
5,"weekday",2020,5.07088036117382,2020,7.9340206185567,"low",0.831485587583149,"Barrie","high"
5,"weekend",2020,3.45324074074074,2020,7.07920792079208,"low",0.520091324200913,"Barrie","high"
6,"weekday",2020,5.39269911504425,2020,7.80636604774536,"low",1.38512931034483,"Barrie","high"
6,"weekend",2020,2.8854748603352,2020,3.90804597701149,"low",0.900564971751412,"Barrie","high"
7,"weekday",2020,3.26009174311927,2020,5.70406189555126,"low",0.822494432071269,"Barrie","high"
7,"weekend",2020,2.16022727272727,2020,5.47368421052632,"low",0.625287356321839,"Barrie","high"
8,"weekday",2020,3.25763097949886,2020,4.8762677484787,"low",0.92572706935123,"Barrie","high"
8,"weekend",2020,2.06944444444444,2020,5.84810126582278,"low",0.44337899543379,"Barrie","high"
9,"weekday",2020,4.78092105263158,2020,6.42941176470588,"low",2.21092077087794,"Barrie","high"
9,"weekend",2020,3.31787709497207,2020,6.2578947368421,"low",0.589265536723164,"Barrie","high"
1,"weekday",2020,5.55052192066806,2020,6.17733089579525,"low",1.70867678958785,"Belleville","low"
1,"weekend",2020,3.7978021978022,2020,5.5978835978836,"low",1.02592592592593,"Belleville","low"
10,"weekday",2020,3.75802997858672,2020,4.94444444444444,"low",1.64865470852018,"Belleville","low"
10,"weekend",2020,2.70731707317073,2020,5.35406698564593,"low",1.66540540540541,"Belleville","low"
11,"weekday",2020,5.10089086859688,2020,6.99,"low",2.32752941176471,"Belleville","low"
11,"weekend",2020,3.63707317073171,2020,7.54929577464789,"low",1.11675675675676,"Belleville","low"
12,"weekday",2020,4.88571428571429,2020,5.79341864716636,"low",1.64628820960699,"Belleville","low"
12,"weekend",2020,3.9655737704918,2020,5.57671957671958,"low",1.8558282208589,"Belleville","low"
2,"weekday",2020,4.9195067264574,2020,5.47598253275109,"low",3.39280575539568,"Belleville","low"
2,"weekend",2020,5.11463414634146,2020,7.15023474178404,"low",1.38432432432432,"Belleville","low"
3,"weekday",2020,3.5656779661017,2020,6.15267175572519,"low",0.909513274336283,"Belleville","low"
3,"weekend",2020,2.93891625615764,2020,4.82938388625592,"low",0.986885245901639,"Belleville","low"
4,"weekday",2020,2.46779661016949,2020,4.77862595419847,"low",0.815486725663717,"Belleville","low"
4,"weekend",2020,2.48032786885246,2020,6.98412698412698,"low",0.853374233128834,"Belleville","low"
5,"weekday",2020,3.15622222222222,2020,6.58700209643606,"low",0.971428571428571,"Belleville","low"
5,"weekend",2020,1.99082969432314,2020,5.08860759493671,"low",0.936842105263158,"Belleville","low"
6,"weekday",2020,2.70407725321888,2020,6.92445328031809,"low",0.886516853932584,"Belleville","low"
6,"weekend",2020,2.32622950819672,2020,7.48148148148148,"low",0.738036809815951,"Belleville","low"
7,"weekday",2020,2.48442105263158,2020,8.40719696969697,"low",0.80109409190372,"Belleville","low"
7,"weekend",2020,2.09125683060109,2020,6.32275132275132,"low",0.936196319018405,"Belleville","low"
8,"weekday",2020,2.71968680089485,2020,6.57028112449799,"low",1.01229314420804,"Belleville","low"
8,"weekend",2020,2.1117903930131,2020,7.84388185654008,"low",0.719138755980861,"Belleville","low"
9,"weekday",2020,2.61300639658849,2020,6.32181425485961,"low",1.13407572383074,"Belleville","low"
9,"weekend",2020,2.63005464480874,2020,6.53968253968254,"low",1.04110429447853,"Belleville","low"
1,"weekday",2020,6.66382978723404,2020,7.18181818181818,"low",1.04205020920502,"Brant","low"
1,"weekend",2020,3.96502732240437,2020,4.27604166666667,"low",0.388950276243094,"Brant","low"
10,"weekday",2020,4.0474358974359,2020,4.97528517110266,"low",0.686780383795309,"Brant","low"
10,"weekend",2020,3.7175,2020,6.34722222222222,"low",0.610294117647059,"Brant","low"
11,"weekday",2020,5.36890380313199,2020,7.80876494023904,"low",1.11869369369369,"Brant","low"
11,"weekend",2020,4.3,2020,8.52777777777778,"low",0.531862745098039,"Brant","low"
12,"weekday",2020,5.57537796976242,2020,7.97201492537313,"low",0.916348195329087,"Brant","low"
12,"weekend",2020,4.44918032786885,2020,7.6875,"low",0.299447513812155,"Brant","low"
2,"weekday",2020,5.38787878787879,2020,5.60393873085339,"low",0.710327455919396,"Brant","low"
2,"weekend",2020,5.4395,2020,9.74093264248705,"low",0.67843137254902,"Brant","low"
3,"weekday",2020,5.76896551724138,2020,7.2007874015748,"low",1.15833333333333,"Brant","low"
3,"weekend",2020,4.69191919191919,2020,5.06341463414634,"low",0.692574257425743,"Brant","low"
4,"weekday",2020,3.363539445629,2020,5.45247148288973,"low",0.309574468085106,"Brant","low"
4,"weekend",2020,3.04918032786885,2020,6.83333333333333,"low",0.0955801104972376,"Brant","low"
5,"weekday",2020,4.0015625,2020,5.80761523046092,"low",0.536179775280899,"Brant","low"
5,"weekend",2020,3.25919282511211,2020,5.71666666666667,"low",0.680176211453745,"Brant","low"
6,"weekday",2020,3.53790149892934,2020,7.48098859315589,"low",0.666880341880342,"Brant","low"
6,"weekend",2020,2.67049180327869,2020,6.53645833333333,"low",0.5,"Brant","low"
7,"weekday",2020,3.01595744680851,2020,7.48327137546468,"low",0.644979079497908,"Brant","low"
7,"weekend",2020,2.24153005464481,2020,6.78125,"low",0.442541436464088,"Brant","low"
8,"weekday",2020,3.0222972972973,2020,6.59318637274549,"low",1.01018099547511,"Brant","low"
8,"weekend",2020,2.09107142857143,2020,6.95,"low",0.444736842105263,"Brant","low"
9,"weekday",2020,3.66774193548387,2020,6.43106796116505,"low",0.876824034334764,"Brant","low"
9,"weekend",2020,3.0448087431694,2020,7.59375,"low",0.351381215469613,"Brant","low"
1,"weekday",2020,11.0767676767677,2020,6.64963503649635,"low",3.13262260127932,"Burlington","high"
1,"weekend",2020,6.56888888888889,2020,4.765625,"low",1.20404624277457,"Burlington","high"
10,"weekday",2020,8.93271604938272,2020,4.25568181818182,"low",2.5363834422658,"Burlington","high"
10,"weekend",2020,6.68877551020408,2020,5.36111111111111,"low",1.11526315789474,"Burlington","high"
11,"weekday",2020,11.3720779220779,2020,7.79,"low",4.28926940639269,"Burlington","high"
11,"weekend",2020,7.33979591836735,2020,7.86111111111111,"low",0.729473684210526,"Burlington","high"
12,"weekday",2020,10.9769696969697,2020,8.22222222222222,"low",3.4134328358209,"Burlington","high"
12,"weekend",2020,7.88611111111111,2020,7.25,"low",1.15086705202312,"Burlington","high"
2,"weekday",2020,9.70229357798165,2020,5.42468619246862,"low",2.23777239709443,"Burlington","high"
2,"weekend",2020,10.6882653061224,2020,10.0138888888889,"low",2.59052631578947,"Burlington","high"
3,"weekday",2020,9.69855967078189,2020,6.88614800759013,"low",2.71023965141612,"Burlington","high"
3,"weekend",2020,5.89329896907217,2020,4.4018691588785,"low",1.31808510638298,"Burlington","high"
4,"weekday",2020,6.80267489711934,2020,4.9280303030303,"low",2.31633986928105,"Burlington","high"
4,"weekend",2020,4.60833333333333,2020,6.98958333333333,"low",0.994797687861272,"Burlington","high"
5,"weekday",2020,7.18701298701299,2020,5.76352705410822,"low",2.23607305936073,"Burlington","high"
5,"weekend",2020,5.01157407407407,2020,5.91983122362869,"low",1.39428571428571,"Burlington","high"
6,"weekday",2020,8.16041237113402,2020,7.41682600382409,"low",1.62991266375546,"Burlington","high"
6,"weekend",2020,4.91333333333333,2020,6.13020833333333,"low",0.920231213872832,"Burlington","high"
7,"weekday",2020,6.78949494949495,2020,6.95620437956204,"low",1.13688699360341,"Burlington","high"
7,"weekend",2020,4.88111111111111,2020,5.67708333333333,"low",0.491907514450867,"Burlington","high"
8,"weekday",2020,7.27619047619048,2020,6.05765407554672,"low",1.83698630136986,"Burlington","high"
8,"weekend",2020,5.19357798165138,2020,6.64583333333333,"low",0.645070422535211,"Burlington","high"
9,"weekday",2020,8.26399176954732,2020,6.12121212121212,"low",2.74923747276688,"Burlington","high"
9,"weekend",2020,5.45944444444444,2020,5.63541666666667,"low",0.586705202312139,"Burlington","high"
1,"weekday",2020,8.27385892116183,2020,7.01890359168242,"low",1.15425101214575,"St.Catharines","high"
1,"weekend",2020,5.00489130434783,2020,4.3031914893617,"low",0.364705882352941,"St.Catharines","high"
10,"weekday",2020,5.39008438818565,2020,5.39832285115304,"low",1.53065539112051,"St.Catharines","high"
10,"weekend",2020,3.96464646464646,2020,5.86138613861386,"low",0.648514851485149,"St.Catharines","high"
11,"weekday",2020,6.64735682819383,2020,6.41922290388548,"low",1.33672566371681,"St.Catharines","high"
11,"weekend",2020,5.22690355329949,2020,7.46411483253589,"low",0.447761194029851,"St.Catharines","high"
12,"weekday",2020,7.74528301886792,2020,7.99621212121212,"low",1.28398357289528,"St.Catharines","high"
12,"weekend",2020,5.85434782608696,2020,6.82446808510638,"low",0.485561497326203,"St.Catharines","high"
2,"weekday",2020,6.23502304147465,2020,5.83655913978495,"low",0.455196304849885,"St.Catharines","high"
2,"weekend",2020,7.4215,2020,10.1933962264151,"low",0.873529411764706,"St.Catharines","high"
3,"weekday",2020,6.50103734439834,2020,7.076171875,"low",1.00790020790021,"St.Catharines","high"
3,"weekend",2020,5.32474747474747,2020,4.8952380952381,"low",0.816831683168317,"St.Catharines","high"
4,"weekday",2020,4.69564315352697,2020,5.2189349112426,"low",0.812681912681913,"St.Catharines","high"
4,"weekend",2020,4.63532608695652,2020,7.07978723404255,"low",0.444919786096257,"St.Catharines","high"
5,"weekday",2020,4.81069868995633,2020,5.88957055214724,"low",0.675929978118162,"St.Catharines","high"
5,"weekend",2020,3.725,2020,6.19230769230769,"low",0.439912280701754,"St.Catharines","high"
6,"weekday",2020,3.95031847133758,2020,6.88095238095238,"low",0.723027718550107,"St.Catharines","high"
6,"weekend",2020,2.70054347826087,2020,5.48924731182796,"low",0.463636363636364,"St.Catharines","high"
7,"weekday",2020,3.85696465696466,2020,6.30754716981132,"low",0.878207739307536,"St.Catharines","high"
7,"weekend",2020,3.04402173913043,2020,6.60106382978723,"low",0.587700534759358,"St.Catharines","high"
8,"weekday",2020,4.20133037694013,2020,5.42710472279261,"low",0.989755011135858,"St.Catharines","high"
8,"weekend",2020,3.04932735426009,2020,6.10169491525424,"low",0.601321585903084,"St.Catharines","high"
9,"weekday",2020,3.91778242677824,2020,5.71958762886598,"low",1.01656184486373,"St.Catharines","high"
9,"weekend",2020,3.68315217391304,2020,5.98936170212766,"low",0.683957219251337,"St.Catharines","high"
1,"weekday",2020,8.703426124197,2020,6.22826086956522,"low",3.4896449704142,"Chatham","high"
1,"weekend",2020,5.06416184971098,2020,5.27868852459016,"low",3.01729323308271,"Chatham","high"
10,"weekday",2020,4.82421524663677,2020,5.02982107355865,"low",1.67125,"Chatham","high"
10,"weekend",2020,4.1385,2020,5.76328502415459,"low",0.967808219178082,"Chatham","high"
11,"weekday",2020,6.84722838137472,2020,7.07738095238095,"low",1.58122977346278,"Chatham","high"
11,"weekend",2020,5.91,2020,9.08333333333333,"low",1.06369863013699,"Chatham","high"
12,"weekday",2020,7.62997858672377,2020,8.16,"low",2.74615384615385,"Chatham","high"
12,"weekend",2020,6.65745856353591,2020,7.72916666666667,"low",1.69776119402985,"Chatham","high"
2,"weekday",2020,5.46559633027523,2020,5.58958333333333,"low",2.53310810810811,"Chatham","high"
2,"weekend",2020,6.402,2020,8.52314814814815,"low",1.71849315068493,"Chatham","high"
3,"weekday",2020,6.11839826839827,2020,7.31439393939394,"low",1.48251533742331,"Chatham","high"
3,"weekend",2020,3.43989898989899,2020,4.72429906542056,"low",0.972916666666667,"Chatham","high"
4,"weekday",2020,3.93982683982684,2020,5.35984848484848,"low",1.40061349693252,"Chatham","high"
4,"weekend",2020,3.42762430939227,2020,6,"low",0.925373134328358,"Chatham","high"
5,"weekday",2020,3.58935698447894,2020,5.66666666666667,"low",1.30517799352751,"Chatham","high"
