"","year","no2","FP","no","loc","cate"
"1",2020,7.886652826963,6.38959634790966,0.764855861627162,"Windsor","high1"
"2",2020,7.01952981510959,5.99607096082867,1.05749401235346,"Toronto","high2"
"3",2020,8.9815044037134,7.43940467753366,1.28779471147584,"Hamilton","high2"
"4",2020,4.33697645600991,5.91780307769298,0.54767825425019,"Barrie","high1"
"5",2020,2.59653409799277,5.87497008853793,0.485118648612415,"Belleville","low1"
"6",2020,3.46760793172691,6.32291543814129,0.345113858165257,"Brant","low1"
"7",2020,7.00267802799757,5.90762721823951,1.24788714574899,"Burlington","high2"
"8",2020,4.36589981447124,5.65586457073761,0.494888059701493,"St.Catharines","high1"
"9",2020,4.50576230492197,6.02852709477202,0.82559907240402,"Chatham","high1"
"10",2020,3.11980461811723,5.55188343994314,0.350360655737705,"Cornwall","low1"
"11",2020,2.0102328358209,4.34033766549253,0.32168583535109,"Grand Bend","low1"
"12",2020,4.03654432386294,6.4680676215074,0.261068310220853,"Guelph","low2"
"13",2020,5.83598687408848,6.39805017239329,0.602079494603843,"Hamilton 
 Mountain","high1"
"14",2020,2.54270399798209,4.8785380260891,0.413098429720414,"Kingston","low1"
"15",2020,4.0169869425967,6.07721280602637,0.273756763720691,"Kitchener","low2"
"16",2020,3.90310348991668,6.11853422882055,0.318520376175549,"London","low2"
"17",2020,6.01061991869919,6.43452816386247,0.846561912436207,"Milton","high2"
"18",2020,3.23283990546088,5.46791475332627,0.250613810741688,"Newmarket","low2"
"19",2020,2.91796796796797,4.0780150304187,0.703411131059246,"North Bay","high1"
"20",2020,2.99826163081541,5.49402534701267,0.39068507289382,"Oshawa","low1"
"21",2020,4.76186006825939,5.17211408985188,0.776276124129196,"Ottawa","high1"
"22",2020,1.70906015037594,3.8713239707118,0.177594278283485,"Parry Sound","low2"
"23",2020,3.00798912339764,4.88762783736593,0.373673633440514,"Peterborough","low1"
"24",2020,2.3413425421059,5.97802857485893,0.149270726714432,"Port Stanley","low2"
"25",2020,4.98714216399806,6.52240385746207,1.13205700123916,"Sarnia","high2"
"26",2020,2.83218537959288,4.11124302505046,1.03292449214258,"Sault Ste. 
 Marie","high2"
"27",2020,4.43666034155598,4.65725091596738,1.08540716612378,"Sudbury","high2"
"28",2018,3,4.58047365877235,0,"Tiverton","low2"
