
From,January 1, 2020 EST
To,January 1, 2020 EST
Barrie, (47045) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382361
Longitude,-79.702306
Elevation, 226 metres
Air Intake Height,5 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2020-01-01,2,2,2,3,3,2,2,2,3,3,2,2,3,3,5,5,6,7,9,11,13,11,13,11,


Belleville, (54012) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Belleville (54012)
Address,2 Sidney St., Water Treatment Plant
Latitude,44.150528
Longitude,-77.3955
Elevation, 75 metres
Air Intake Height,10 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54012,Fine Particulate Matter,2020-01-01,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,3,3,7,14,13,16,13,23,


Brampton, (46090) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Brampton (46090)
Address,109 Mclaughlin Rd. S.
Latitude,43.669911
Longitude,-79.766589
Elevation, 218 metres
Air Intake Height,5 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46090,Fine Particulate Matter,2020-01-01,3,3,3,3,3,3,2,2,4,4,4,4,5,6,5,5,6,10,13,14,13,11,10,9,


Brantford, (21005) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Brantford (21005)
Address,324 Grand River Ave.
Latitude,43.138611
Longitude,-80.292639
Elevation, 205 metres
Air Intake Height,5 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
21005,Fine Particulate Matter,2020-01-01,2,1,2,4,5,4,4,2,1,2,3,3,4,5,7,6,7,10,11,12,12,11,10,11,


Burlington, (44008) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.315111
Longitude,-79.802639
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Fine Particulate Matter,2020-01-01,4,3,2,2,2,3,3,3,2,2,3,4,5,4,5,6,7,8,8,8,9,7,7,7,


Chatham, (13001) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Chatham (13001)
Address,435 Grand Ave. W.
Latitude,42.403694
Longitude,-82.208306
Elevation, 179 metres
Air Intake Height,15 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
13001,Fine Particulate Matter,2020-01-01,5,6,7,6,5,4,4,4,4,5,5,9,9,7,6,6,6,7,8,8,7,4,5,5,


Cornwall, (56051) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Cornwall (56051)
Address,Bedford St./3rd St. W.
Latitude,45.017972
Longitude,-74.735222
Elevation, 55 metres
Air Intake Height,4 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
56051,Fine Particulate Matter,2020-01-01,5,6,6,6,5,5,4,3,3,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,


Dorset, (49010) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Dorset (49010)
Address,1026 Bellwood Acres Rd.
Latitude,45.224278
Longitude,-78.932944
Elevation, 318 metres
Air Intake Height,3 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
49010,Fine Particulate Matter,2020-01-01,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,


Grand Bend, (15020) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Grand Bend (15020)
Address,Point Blake Conservation Area
Latitude,43.333083
Longitude,-81.742889
Elevation, 185 metres
Air Intake Height,5 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
15020,Fine Particulate Matter,2020-01-01,2,2,2,2,2,1,2,2,3,3,3,6,4,5,5,6,9,13,10,10,9,8,7,5,


Guelph, (28028) Hourly, Fine Particulate Matter (PM2.5) Concentrations
Station,Guelph (28028)
Address,Exhibition St./clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air Intake Height,4 metres
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5)
